"","id","group","empathy_exact_Y1","empathy_exact_Y2","empathy_exact_Y3","empathy_exact_Y4","empathy_exact_Y5"
"1","M102","Music",0.75,0,0.5,0.166666667,0.833333333
"2","M106","Music",0.75,0.666666667,0.833333333,0.5,NA
"3","M107","Music",0,0.666666667,1,1,0.833333333
"4","M108","Music",0.75,0.833333333,1,0.8,0.5
"5","M109","Music",0.75,0.833333333,1,0.666666667,0.5
"6","M112","Music",0.25,0.666666667,0.8,0.25,NA
"7","M113","Music",0.5,0.833333333,0.666666667,1,0.333333333
"8","S101","Sport",0.5,0.666666667,0.5,1,NA
"9","S103","Sport",0.25,1,1,1,0.666666667
"10","S104","Sport",1,0.666666667,0.333333333,0.8,1
"11","S105","Sport",0,1,0.666666667,0.2,0.833333333
"12","S107","Sport",0,1,1,0.833333333,1
"13","S108","Sport",0.5,0.5,0.833333333,0.333333333,0.333333333
"14","S109","Sport",0.25,1,0.5,0.833333333,0.833333333
"15","S110","Sport",0.5,0.5,0.666666667,1,0.5
"16","S111","Sport",0.75,0.833333333,1,0.833333333,0.833333333
"17","S114","Sport",0.25,0.833333333,0.666666667,0.666666667,0.666666667
"18","S117","Sport",0.25,0.5,0.666666667,0.666666667,0.666666667
"19","C101","Control",0.5,0.5,1,0.666666667,0.666666667
"20","C102","Control",0.666666667,0.666666667,0.5,0.833333333,1
"21","C107","Control",0.25,1,1,1,0.833333333
"22","C108","Control",1,0.5,0.666666667,0.666666667,NA
"23","C109","Control",0.75,0.833333333,0.833333333,0.5,0.666666667
"24","C111","Control",0.25,0,0.2,0.5,0.666666667
"25","C112","Control",1,0.833333333,0.666666667,1,0.833333333
"26","C113","Control",0.25,0.666666667,0.5,0.666666667,0.5
"27","C114","Control",0,0,0.166666667,NA,0
"28","C116","Control",0.75,0.833333333,0.666666667,0.5,0.666666667
"29","C104","Control",0,0.833333333,NA,NA,NA
"30","M105","Music",1,0.5,0.666666667,NA,NA
"31","S112","Sport",1,0.833333333,0.5,NA,NA
"32","C115","Control",0,0.666666667,NA,NA,NA
"33","M101","Music",1,0.5,NA,NA,NA
"34","M104","Music",0.666666667,NA,NA,NA,NA
"35","M110","Music",1,NA,NA,NA,NA
"36","M111","Music",0.5,NA,NA,NA,NA
"37","S106","Sport",0.25,NA,NA,NA,NA
"38","C106","Control",0.5,NA,NA,NA,NA
"39","M02","Music",1,1,0.5,0.5,1
"40","M04","Music",0.25,1,0.833333333,0.833333333,1
"41","M05","Music",0,0.666666667,1,0.833333333,1
"42","M06","Music",0.75,0.333333333,0,0.5,0.5
"43","M07","Music",0,0.833333333,0.833333333,1,0.833333333
"44","M09","Music",0.25,0.833333333,0.833333333,0.833333333,0.833333333
"45","M10","Music",0.25,0.833333333,1,0.833333333,0.5
"46","M12","Music",0.25,0.833333333,0.833333333,0.666666667,0.833333333
"47","M17","Music",0.25,0.833333333,0.333333333,0.666666667,0.833333333
"48","S01","Sport",0,0.333333333,0,0.166666667,0.5
"49","S04","Sport",0,0,0.166666667,0.5,0
"50","S07","Sport",0.5,0.833333333,0.5,0.833333333,1
"51","S08","Sport",0.25,0.833333333,0.666666667,1,0.666666667
"52","S17","Sport",0,0.833333333,0.5,1,0.333333333
"53","S28","Sport",0.5,0.5,0.833333333,0.333333333,0.666666667
"54","S31","Sport",1,0.833333333,0.333333333,1,0.666666667
"55","C02","Control",0.25,0.5,0.5,0.833333333,0.666666667
"56","C03","Control",0,0.166666667,0,0,0
"57","C04","Control",0.75,0.833333333,0.833333333,0.666666667,1
"58","C07","Control",0.5,0.5,0.5,0.5,0.833333333
"59","C08","Control",0.75,0.833333333,0.833333333,0.833333333,1
"60","C17","Control",0.75,0.5,0.833333333,0.333333333,0.833333333
"61","C19","Control",1,0.666666667,0.666666667,0.666666667,0.833333333
"62","M01","Music",0.75,0.833333333,0.666666667,0.5,1
"63","M03","Music",0.75,1,0.666666667,0.666666667,1
"64","M11","Music",0.5,0.333333333,0.5,0.666666667,1
"65","M15","Music",0.5,0.666666667,0.833333333,0.833333333,0.833333333
"66","S05","Sport",0.5,1,0.666666667,0.5,0.666666667
"67","S10","Sport",0,0.333333333,0.5,NA,NA
"68","S14","Sport",0.75,0.666666667,0,0.666666667,0.333333333
"69","S22","Sport",1,1,0,1,1
"70","C01","Control",0.25,0.5,0.5,0.5,0.833333333
"71","C05","Control",0.5,0.5,0.333333333,0.5,NA
"72","C06","Control",0,1,0.666666667,1,0.833333333
"73","C11","Control",0.5,0.333333333,0.166666667,0.333333333,NA
"74","C12","Control",0.75,0.666666667,0.5,0.333333333,0.333333333
"75","C18","Control",0.5,0.5,0.5,0.5,0.666666667
"76","M08","Music",0.25,0.6,NA,NA,NA
"77","C10","Control",0.25,0.166666667,NA,NA,NA
"78","C16","Control",0.25,0.833333333,NA,NA,NA
"79","S15","Sport",1,NA,NA,NA,NA
"80","S21","Sport",0.75,NA,NA,NA,NA
"81","C09","Control",1,NA,NA,NA,NA
"82","S02","Sport",1,NA,NA,NA,NA
"83","S32","Sport",0.75,NA,NA,NA,NA
