"","id","group","mep_total_Y4","mep_total_Y5","mep_total_Y7"
"1","M102","Music",2,2,2
"2","M106","Music",2,NA,NA
"3","M107","Music",4,2,NA
"4","M108","Music",2,3,4
"5","M109","Music",4,3,NA
"6","M112","Music",4,NA,NA
"7","M113","Music",3,2,NA
"8","S101","Sport",3,1,NA
"9","S103","Sport",3,4,3
"10","S104","Sport",4,4,NA
"11","S105","Sport",2,4,4
"12","S107","Sport",3,4,NA
"13","S108","Sport",4,4,4
"14","S109","Sport",2,4,NA
"15","S110","Sport",4,2,2
"16","S111","Sport",4,3,3
"17","S114","Sport",2,2,NA
"18","S117","Sport",1,2,3
"19","C101","Control",2,3,3
"20","C102","Control",3,3,1
"21","C107","Control",3,1,4
"22","C108","Control",4,NA,4
"23","C109","Control",1,3,NA
"24","C111","Control",3,2,3
"25","C112","Control",2,1,2
"26","C113","Control",2,1,3
"27","C114","Control",2,4,NA
"28","C116","Control",3,2,NA
"29","C104","Control",NA,NA,NA
"30","M105","Music",NA,NA,NA
"31","S112","Sport",NA,NA,NA
"32","C115","Control",NA,NA,NA
"33","M101","Music",NA,NA,NA
"34","M104","Music",NA,NA,NA
"35","M110","Music",NA,NA,NA
"36","M111","Music",NA,NA,NA
"37","S106","Sport",NA,NA,NA
"38","C106","Control",NA,NA,NA
"39","M02","Music",4,2,3
"40","M04","Music",3,3,2
"41","M05","Music",1,4,4
"42","M06","Music",4,4,4
"43","M07","Music",2,2,3
"44","M09","Music",2,3,NA
"45","M10","Music",2,4,4
"46","M12","Music",NA,4,4
"47","M17","Music",2,3,NA
"48","S01","Sport",3,3,3
"49","S04","Sport",1,4,3
"50","S07","Sport",3,2,4
"51","S08","Sport",2,3,3
"52","S17","Sport",0,2,NA
"53","S28","Sport",3,2,4
"54","S31","Sport",2,2,1
"55","C02","Control",2,2,4
"56","C03","Control",1,4,2
"57","C04","Control",1,2,2
"58","C07","Control",2,2,4
"59","C08","Control",2,1,1
"60","C17","Control",2,2,2
"61","C19","Control",2,2,3
"62","M01","Music",4,3,NA
"63","M03","Music",3,4,NA
"64","M11","Music",0,4,NA
"65","M15","Music",4,2,NA
"66","S05","Sport",3,4,NA
"67","S10","Sport",NA,NA,NA
"68","S14","Sport",2,2,NA
"69","S22","Sport",3,3,NA
"70","C01","Control",4,2,NA
"71","C05","Control",3,NA,NA
"72","C06","Control",2,4,NA
"73","C11","Control",NA,NA,NA
"74","C12","Control",2,3,NA
"75","C18","Control",4,3,NA
"76","M08","Music",NA,NA,NA
"77","C10","Control",NA,NA,NA
"78","C16","Control",NA,NA,NA
"79","S15","Sport",NA,NA,NA
"80","S21","Sport",NA,NA,NA
"81","C09","Control",NA,NA,NA
"82","S02","Sport",NA,NA,NA
"83","S32","Sport",NA,NA,NA
