"","id","group","wasi_fsiq4_Y1","wasi_fsiq4_Y2","wasi_fsiq4_Y3","wasi_fsiq4_Y4","wasi_fsiq4_Y5","wasi_fsiq4_Y7"
"1","M102","Music",91,86,93,93,104,89
"2","M106","Music",93,87,101,93,NA,NA
"3","M107","Music",81,74,76,74,73,NA
"4","M108","Music",112,110,111,112,117,96
"5","M109","Music",90,101,110,101,109,NA
"6","M112","Music",108,102,109,108,NA,NA
"7","M113","Music",91,94,85,87,88,NA
"8","S101","Sport",78,81,82,97,84,NA
"9","S103","Sport",97,94,97,92,101,93
"10","S104","Sport",86,81,85,84,83,NA
"11","S105","Sport",105,108,103,108,110,102
"12","S107","Sport",88,93,93,92,101,NA
"13","S108","Sport",105,107,91,103,99,93
"14","S109","Sport",77,92,94,96,101,NA
"15","S110","Sport",88,91,80,83,84,82
"16","S111","Sport",87,92,91,89,91,90
"17","S114","Sport",102,95,88,89,108,NA
"18","S117","Sport",96,105,92,95,101,88
"19","C101","Control",88,87,82,81,94,91
"20","C102","Control",95,86,89,92,79,83
"21","C107","Control",121,129,108,120,120,113
"22","C108","Control",100,100,103,96,NA,88
"23","C109","Control",94,95,85,103,96,NA
"24","C111","Control",87,82,84,81,82,90
"25","C112","Control",81,84,82,87,96,95
"26","C113","Control",89,91,109,106,93,96
"27","C114","Control",100,97,97,89,89,NA
"28","C116","Control",86,95,102,101,106,NA
"29","C104","Control",78,78,NA,NA,NA,NA
"30","M105","Music",89,81,85,NA,NA,NA
"31","S112","Sport",85,89,103,NA,NA,NA
"32","C115","Control",94,106,NA,NA,NA,NA
"33","M101","Music",94,100,NA,NA,NA,NA
"34","M104","Music",98,NA,NA,NA,NA,NA
"35","M110","Music",104,NA,NA,NA,NA,NA
"36","M111","Music",101,NA,NA,NA,NA,NA
"37","S106","Sport",81,NA,NA,NA,NA,NA
"38","C106","Control",89,NA,NA,NA,NA,NA
"39","M02","Music",96,105,98,97,101,96
"40","M04","Music",97,98,102,93,95,102
"41","M05","Music",113,114,121,115,122,122
"42","M06","Music",102,97,105,89,105,106
"43","M07","Music",105,96,107,110,112,107
"44","M09","Music",141,122,131,122,127,131
"45","M10","Music",92,92,112,106,102,106
"46","M12","Music",103,106,88,94,102,107
"47","M17","Music",104,96,102,92,101,95
"48","S01","Sport",95,94,103,92,100,95
"49","S04","Sport",94,101,105,104,99,108
"50","S07","Sport",86,82,77,89,86,79
"51","S08","Sport",111,107,107,107,116,108
"52","S17","Sport",106,105,99,100,99,86
"53","S28","Sport",94,105,108,96,99,93
"54","S31","Sport",107,128,120,121,114,105
"55","C02","Control",105,100,102,105,108,99
"56","C03","Control",79,93,102,89,96,89
"57","C04","Control",98,108,116,101,109,103
"58","C07","Control",94,94,97,100,97,93
"59","C08","Control",100,100,92,100,99,100
"60","C17","Control",100,96,101,100,102,98
"61","C19","Control",96,90,87,92,93,86
"62","M01","Music",108,105,132,122,125,NA
"63","M03","Music",93,94,98,92,94,NA
"64","M11","Music",87,88,83,78,86,NA
"65","M15","Music",106,97,102,105,102,NA
"66","S05","Sport",111,106,108,108,108,NA
"67","S10","Sport",93,86,100,NA,NA,NA
"68","S14","Sport",109,105,107,100,105,NA
"69","S22","Sport",101,92,100,109,104,NA
"70","C01","Control",87,104,97,96,101,NA
"71","C05","Control",102,99,113,107,NA,NA
"72","C06","Control",81,77,86,81,91,NA
"73","C11","Control",83,88,91,NA,NA,NA
"74","C12","Control",83,78,89,88,80,NA
"75","C18","Control",113,123,132,124,130,NA
"76","M08","Music",105,113,NA,NA,NA,NA
"77","C10","Control",108,111,NA,NA,NA,NA
"78","C16","Control",102,98,NA,NA,NA,NA
"79","S15","Sport",82,NA,NA,NA,NA,NA
"80","S21","Sport",102,NA,NA,NA,NA,NA
"81","C09","Control",100,NA,NA,NA,NA,NA
"82","S02","Sport",85,NA,NA,NA,NA,NA
"83","S32","Sport",96,NA,NA,NA,NA,NA
